=== ALLOCATION ===
Year,Line,Products,Utilisation_%,OEE_used_%,P1_units,P2_units,P3_units,P4_units,P5_units,P6_units,P7_units,P8_units,P9_units,P10_units
2029,L1,P1+P2+P3+P4,0.2,82,1000,1000,1000,1000,0,0,0,0,0,0
2030,L1,P1+P2+P3+P4,13.3,82,35498,141992,35498,35498,0,0,0,0,0,0
2031,L1,P1+P2+P3,57.7,82,372560,332481,372560,0,0,0,0,0,0,0
2031,L2,P2+P4,82.0,82,0,1157757,0,372560,0,0,0,0,0,0
2032,L1,P1+P2+P3,82.0,82,529763,470791,529763,0,0,0,0,0,0,0
2032,L2,P2+P4,82.0,82,0,1000554,0,529763,0,0,0,0,0,0
2032,L14,P2,34.7,85,0,647705,0,0,0,0,0,0,0,0
2033,L1,P2+P4,82.0,82,0,837140,0,693177,0,0,0,0,0,0
2033,L2,P2,85.0,85,0,1586304,0,0,0,0,0,0,0,0
2033,L7,P1+P3,74.3,82,693177,0,693177,0,0,0,0,0,0,0
2033,L14,P2,18.7,85,0,349264,0,0,0,0,0,0,0,0
2034,L1,P3+P4,82.0,82,0,0,1001694,528623,0,0,0,0,0,0
2034,L2,P2+P4,82.0,82,0,1057246,0,473071,0,0,0,0,0,0
2034,L5,P2,76.0,85,0,1419214,0,0,0,0,0,0,0,0
2034,L7,P1,53.7,85,1001694,0,0,0,0,0,0,0,0,0
2034,L14,P2,82.0,85,0,1530317,0,0,0,0,0,0,0,0
2035,L1,P2,85.0,85,0,1586304,0,0,0,0,0,0,0,0
2035,L2,P2+P4,82.0,82,0,191620,0,1338697,0,0,0,0,0,0
2035,L3,P2,30.0,85,0,559872,0,0,0,0,0,0,0,0
2035,L5,P2,85.0,85,0,1586304,0,0,0,0,0,0,0,0
2035,L6,P3,71.7,85,0,0,1338697,0,0,0,0,0,0,0
2035,L7,P1,71.7,85,1338697,0,0,0,0,0,0,0,0,0
2035,L14,P2,76.7,85,0,1430688,0,0,0,0,0,0,0,0
2036,L1,P2,85.0,85,0,1586304,0,0,0,0,0,0,0,0
2036,L2,P4,69.0,85,0,0,0,1286832,0,0,0,0,0,0
2036,L3,P2,82.0,85,0,1530317,0,0,0,0,0,0,0,0
2036,L5,P2,38.3,85,0,714403,0,0,0,0,0,0,0,0
2036,L6,P3,69.0,85,0,0,1286832,0,0,0,0,0,0,0
2036,L7,P1,69.0,85,1286832,0,0,0,0,0,0,0,0,0
2036,L14,P2,85.0,85,0,1586304,0,0,0,0,0,0,0,0
2037,L1,P4,32.7,85,0,0,0,610237,0,0,0,0,0,0
2037,L3,P2,82.0,85,0,1530317,0,0,0,0,0,0,0,0
2037,L5,P2,48.8,85,0,910631,0,0,0,0,0,0,0,0
2037,L6,P3,32.7,85,0,0,610237,0,0,0,0,0,0,0
2037,L7,P1,32.7,85,610237,0,0,0,0,0,0,0,0,0
2038,L1,P4,9.3,85,0,0,0,173752,0,0,0,0,0,0
2038,L3,P2,37.2,85,0,695008,0,0,0,0,0,0,0,0
2038,L6,P3,9.3,85,0,0,173752,0,0,0,0,0,0,0
2038,L7,P1,9.3,85,173752,0,0,0,0,0,0,0,0,0

=== TOOLING IDs ===
Tooling_ID,Type,Line,Intro_Year,Years_Active
MECH-P01,MECH,L1,2029,2029-2032
MECH-P01,MECH,L7,2033,2033-2038
MECH-P02,MECH,L1,2029,2029-2036
MECH-P02,MECH,L2,2031,2031-2035
MECH-P02,MECH,L3,2035,2035-2038
MECH-P02,MECH,L5,2034,2034-2037
MECH-P02,MECH,L14,2032,2032-2036
MECH-P03,MECH,L1,2029,2029-2034
MECH-P03,MECH,L6,2035,2035-2038
MECH-P03,MECH,L7,2033,2033-2033
MECH-P04,MECH,L1,2029,2029-2038
MECH-P04,MECH,L2,2031,2031-2036
OPTI-P01,OPTI,L1,2029,2029-2032
OPTI-P01,OPTI,L7,2033,2033-2038
OPTI-P02,OPTI,L1,2029,2029-2036
OPTI-P02,OPTI,L2,2031,2031-2035
OPTI-P02,OPTI,L3,2035,2035-2038
OPTI-P02,OPTI,L5,2034,2034-2037
OPTI-P02,OPTI,L14,2032,2032-2036
OPTI-P03,OPTI,L1,2029,2029-2034
OPTI-P03,OPTI,L6,2035,2035-2038
OPTI-P03,OPTI,L7,2033,2033-2033
OPTI-P04,OPTI,L1,2029,2029-2038
OPTI-P04,OPTI,L2,2031,2031-2036
